ID	Detector	miRNA_ID	SPOT_ID
696	hsa-miR-1201-002781	hsa-miR-1201	
697	hsa-miR-548J-002783	hsa-miR-548J	
698	hsa-miR-1263-002784	hsa-miR-1263	
699	hsa-miR-1294-002785	hsa-miR-1294	
700	hsa-miR-1269-002789	hsa-miR-1269	
701	hsa-miR-1265-002790	hsa-miR-1265	
702	hsa-miR-1244-002791	hsa-miR-1244	
703	hsa-miR-1303-002792	hsa-miR-1303	
704	hsa-miR-1259-002796	hsa-miR-1259	
705	hsa-miR-548P-002798	hsa-miR-548P	
706	hsa-miR-1264-002799	hsa-miR-1264	
707	hsa-miR-1255B-002801	hsa-miR-1255B	
708	hsa-miR-1282-002803	hsa-miR-1282	
709	hsa-miR-1255A-002805	hsa-miR-1255A	
710	hsa-miR-1270-002807	hsa-miR-1270	
711	hsa-miR-1197-002810	hsa-miR-1197	
712	hsa-miR-1324-002815	hsa-miR-1324	
713	hsa-miR-548H-002816	hsa-miR-548H	
714	hsa-miR-1254-002818	hsa-miR-1254	
715	hsa-miR-548K-002819	hsa-miR-548K	
716	hsa-miR-1251-002820	hsa-miR-1251	
717	hsa-miR-1285-002822	hsa-miR-1285	
718	hsa-miR-1245-002823	hsa-miR-1245	
719	hsa-miR-1292-002824	hsa-miR-1292	
720	hsa-miR-1301-002827	hsa-miR-1301	
721	hsa-miR-1200-002829	hsa-miR-1200	
722	hsa-miR-1182-002830	hsa-miR-1182	
723	hsa-miR-1288-002832	hsa-miR-1288	
724	hsa-miR-1291-002838	hsa-miR-1291	
725	hsa-miR-1275-002840	hsa-miR-1275	
726	hsa-miR-1183-002841	hsa-miR-1183	
727	hsa-miR-1184-002842	hsa-miR-1184	
728	hsa-miR-1276-002843	hsa-miR-1276	
729	hsa-miR-320B-002844	hsa-miR-320B	
730	hsa-miR-1272-002845	hsa-miR-1272	
731	hsa-miR-1180-002847	hsa-miR-1180	
732	hsa-miR-1256-002850	hsa-miR-1256	
733	hsa-miR-1278-002851	hsa-miR-1278	
734	hsa-miR-1262-002852	hsa-miR-1262	
735	hsa-miR-1243-002854	hsa-miR-1243	
736	hsa-miR-663B-002857	hsa-miR-663B	
737	hsa-miR-1252-002860	hsa-miR-1252	
738	hsa-miR-1298-002861	hsa-miR-1298	
739	hsa-miR-1290-002863	hsa-miR-1290	
740	hsa-miR-1249-002868	hsa-miR-1249	
741	hsa-miR-1248-002870	hsa-miR-1248	
742	hsa-miR-1289-002871	hsa-miR-1289	
743	hsa-miR-1204-002872	hsa-miR-1204	
744	hsa-miR-1826-002873	hsa-miR-1826	
745	hsa-miR-1304-002874	hsa-miR-1304	
746	hsa-miR-1203-002877	hsa-miR-1203	
747	hsa-miR-1206-002878	hsa-miR-1206	
748	hsa-miR-548G-002879	hsa-miR-548G	
749	hsa-miR-1208-002880	hsa-miR-1208	
750	hsa-miR-548E-002881	hsa-miR-548E	
751	hsa-miR-1274A-002883	hsa-miR-1274A	
752	hsa-miR-1274B-002884	hsa-miR-1274B	
753	hsa-miR-1267-002885	hsa-miR-1267	
754	hsa-miR-1250-002887	hsa-miR-1250	
755	hsa-miR-548N-002888	hsa-miR-548N	
