ID_REF	MIRNA_ID	SN_ID	PLT_NAME	ORGANISM
205	hsa-miR-411		GPL15467	Homo Sapiens
206	hsa-miR-422a		GPL15467	Homo Sapiens
207	hsa-miR-423-5p		GPL15467	Homo Sapiens
208	hsa-miR-424		GPL15467	Homo Sapiens
209	hsa-miR-425		GPL15467	Homo Sapiens
210	hsa-miR-429		GPL15467	Homo Sapiens
211	hsa-miR-431		GPL15467	Homo Sapiens
212	hsa-miR-433		GPL15467	Homo Sapiens
213	hsa-miR-449a		GPL15467	Homo Sapiens
214	hsa-miR-449b		GPL15467	Homo Sapiens
215	hsa-miR-450a		GPL15467	Homo Sapiens
216	hsa-miR-450b-3p		GPL15467	Homo Sapiens
217	hsa-miR-450b-5p		GPL15467	Homo Sapiens
218	hsa-miR-451		GPL15467	Homo Sapiens
219	hsa-miR-452		GPL15467	Homo Sapiens
220	hsa-miR-453		GPL15467	Homo Sapiens
221	hsa-miR-454		GPL15467	Homo Sapiens
222	hsa-miR-455-3p		GPL15467	Homo Sapiens
223	hsa-miR-455-5p		GPL15467	Homo Sapiens
224	hsa-miR-483-5p		GPL15467	Homo Sapiens
225	hsa-miR-484		GPL15467	Homo Sapiens
226	hsa-miR-485-3p		GPL15467	Homo Sapiens
227	hsa-miR-485-5p		GPL15467	Homo Sapiens
228	hsa-miR-486-3p		GPL15467	Homo Sapiens
229	hsa-miR-486-5p		GPL15467	Homo Sapiens
230	hsa-miR-487a		GPL15467	Homo Sapiens
231	hsa-miR-487b		GPL15467	Homo Sapiens
232	hsa-miR-488		GPL15467	Homo Sapiens
233	hsa-miR-489		GPL15467	Homo Sapiens
234	hsa-miR-490-3p		GPL15467	Homo Sapiens
235	hsa-miR-491-3p		GPL15467	Homo Sapiens
236	hsa-miR-491-5p		GPL15467	Homo Sapiens
237	hsa-miR-493		GPL15467	Homo Sapiens
238	hsa-miR-494		GPL15467	Homo Sapiens
239	hsa-miR-495		GPL15467	Homo Sapiens
240	hsa-miR-496		GPL15467	Homo Sapiens
241	hsa-miR-499-3p		GPL15467	Homo Sapiens
242	hsa-miR-499-5p		GPL15467	Homo Sapiens
243	hsa-miR-500		GPL15467	Homo Sapiens
244	hsa-miR-501-3p		GPL15467	Homo Sapiens
245	hsa-miR-501-5p		GPL15467	Homo Sapiens
246	hsa-miR-502-3p		GPL15467	Homo Sapiens
247	hsa-miR-502-5p		GPL15467	Homo Sapiens
248	hsa-miR-503		GPL15467	Homo Sapiens
249	hsa-miR-504		GPL15467	Homo Sapiens
250	hsa-miR-505		GPL15467	Homo Sapiens
251	hsa-miR-507		GPL15467	Homo Sapiens
252	hsa-miR-508-3p		GPL15467	Homo Sapiens
253	hsa-miR-508-5p		GPL15467	Homo Sapiens
254	hsa-miR-509-5p		GPL15467	Homo Sapiens
255	hsa-miR-510		GPL15467	Homo Sapiens
256	hsa-miR-512-3p		GPL15467	Homo Sapiens
257	hsa-miR-512-5p		GPL15467	Homo Sapiens
258	hsa-miR-513-5p		GPL15467	Homo Sapiens
259	hsa-miR-515-3p		GPL15467	Homo Sapiens
260	hsa-miR-515-5p		GPL15467	Homo Sapiens
261	hsa-miR-516a-5p		GPL15467	Homo Sapiens
262	hsa-miR-516b		GPL15467	Homo Sapiens
263	hsa-miR-517a		GPL15467	Homo Sapiens
264	hsa-miR-517c		GPL15467	Homo Sapiens
265	hsa-miR-518a-3p		GPL15467	Homo Sapiens
266	hsa-miR-518a-5p		GPL15467	Homo Sapiens
267	hsa-miR-518b		GPL15467	Homo Sapiens
