ID_REF	GSM918942	GSM918943	GSM918944	GSM918945	GSM918946	GSM918947	GSM918948	GSM918949
123	0.000613452	0.000766783	0.002505691	0.003155143	0.000620824	0.000639208	0.000579187	0.001142961
124	0.000831083	0.001527739	3.38772E-05	5.43142E-05	5.68021E-05	8.64303E-05	2.04404E-05	8.45089E-05
125	0.000187608	7.31574E-05	0.000927237	0.000320695	0.000180604	0.000128937	0.000122089	0.000227931
126	0.059020804	0.071684934	0.206318129	0.162744196	0.069621743	0.116501122	0.053115119	0.09363596
127	2.32666E-06	7.36829E-06	0.000388375	0.000267664	8.92516E-06	9.60347E-06	8.35071E-06	1.37852E-05
128	0.001568814	0.001753314	0.000485473	0.000272077	7.78477E-06	1.67535E-05	7.11353E-05	2.21506E-05
129	0.000589297	0.002907203	6.97631E-05	6.01728E-06	3.33471E-06	8.49192E-06	6.63518E-08	6.3788E-06
130	0.001435899	0.005089292	0.000246165	0.000324697	0.000614208	0.000193644	0.000234578	0.000181538
131	0.000607669	0.000199346	0.0005094	0.000299361	9.8694E-05	2.10479E-05	0.000113168	0.000185976
132	0.003128529	0.000436012	0.000297105	0.000106137	0.000109987	3.13502E-05	6.04266E-05	5.05028E-05
133	3.34465E-05	5.43685E-05	0.000292943	0.000684674	6.08392E-05	0.002450213	1.82575E-05	2.08903E-05
134	0.000185397	4.74704E-05	0	0	0	0	0	0
135	0	0	0	0	0	0	0	0
136	0.004496491	0.002711889	0.002711219	0.001081151	0.001500711	0.000508318	0.000609296	0.00139458
137	0.013288696	0.08415243	0.020320645	0.030769269	0.066836118	0.069868731	0.02509642	0.035037958
138	1.68883E-05	5.61824E-05	1.26944E-05	2.26339E-05	3.2669E-07	2.35894E-06	2.89772E-06	5.57548E-06
139	0	1.28474E-05	1.55928E-06	1.98668E-05	0	2.83278E-07	2.89386E-08	0
140	4.63613E-06	2.0463E-05	2.28777E-05	2.84853E-05	6.23844E-06	4.99306E-06	2.13212E-06	1.21144E-05
141	1.12198E-06	1.08065E-07	4.79776E-06	7.98872E-06	5.01891E-07	3.76933E-06	2.74404E-07	1.92479E-07
142	0.075839926	0.121050652	0.071700525	0.038089205	0.050994192	0.038096592	0.037255736	0.033674877
143	0	0	0	0	0	0	0	0
144	0.004022846	0.008904478	0.016925573	0.005363242	0.003062227	0.002065786	0.002287598	0.006573131
145	0.838400438	1.014351555	0.232794116	0.298347584	0.372455959	0.251854908	0.220952686	0.194517317
146	0.592495201	0.368196227	0.870736738	0.769665774	0.581724814	0.427486495	0.297676528	1.509143506
147	0.001898718	0.001689696	0.004122892	0.002084997	0.00039982	0.000609956	0.000337926	0.000576541
148	4.05836E-06	3.71961E-06	4.33173E-07	1.83395E-06	1.04072E-06	3.8071E-07	0	9.81344E-07
149	3.0235E-05	0.000163403	0.000509031	0.000514538	0.000105057	5.8556E-05	9.83432E-05	0.000222083
150	0.003375969	0.001607076	3.31686E-05	3.46523E-05	3.27861E-06	2.51394E-05	9.73287E-05	3.84833E-05
151	1.96144E-07	3.11536E-06	6.06006E-05	2.47089E-05	1.02859E-05	5.71416E-06	5.83564E-07	2.07586E-05
152	0.0003755	0.000175211	0.001492747	0.000756995	0.000365244	0.000267159	0.000384436	0.000949065
153	7.86091E-06	1.14265E-05	6.32939E-06	1.73433E-06	5.97494E-07	2.59099E-07	2.01783E-07	1.37775E-06
154	8.38039E-06	7.53951E-05	0	0	0	0	0	0
155	0	0	0	0	0	0	0	0
156	0.002664716	0.001430242	0.000122027	1.64353E-05	6.46976E-06	1.70691E-05	3.16948E-05	0.000115513
157	0.00136521	0.004752916	0.00121598	0.001005902	9.27229E-05	0.000102127	0.00030407	0.000944976
158	0.211412762	0.143896335	0.052784549	0.081703914	0.051928262	0.069533294	0.038622259	0.039706403
159	0.000150695	0.000371495	0.000338704	0.000302037	0.000136251	0.000108729	5.2879E-05	0.000138457
160	0.005642864	0.005151973	0.002585184	0.002623766	0.001708405	0.001646697	0.001155934	0.002636977
161	0.002648385	0.002229526	0.003730572	0.001547986	0.000742635	0.000814438	0.000596387	0.002531123
162	0	0	0	0	0	0	0	0
163	0.001990861	0.001825957	0.004137407	0.004216679	0.000403432	0.000270533	0.0004053	0.00085019
164	1.25457E-06	8.99987E-06	3.05575E-05	3.64296E-06	3.24347E-07	1.98484E-06	1.36554E-07	5.18524E-06
165	1.4572E-05	8.14907E-06	2.32791E-05	6.51221E-06	5.42362E-06	3.93369E-06	7.61417E-06	8.60991E-06
166	0	1.48749E-05	1.53372E-05	6.6829E-06	1.2003E-06	2.84998E-06	3.17987E-07	0
167	0.007318767	0.014412493	0.034129841	0.025935662	0.015053406	0.013029619	0.0128269	0.021087714
168	0.00010931	0.000202593	5.61208E-05	4.96098E-05	7.93564E-05	7.3791E-05	2.83441E-05	3.01463E-05
169	0.000312447	4.23599E-05	0.002607277	0.002453349	0.000313802	0.000565417	0.0003587	0.000774639
170	0.000146758	0.000128108	0.00027991	0.000125888	9.98099E-05	5.86397E-05	4.75255E-05	0.000125755
171	4.21474E-07	0	0	1.27826E-07	0	0	0	0
172	0.002171993	0.004187566	0.002194066	0.00212974	0.002384775	0.002023197	0.001239816	0.001738349
173	2.2204E-05	2.9481E-05	0.000456924	0.000286278	0.000117222	7.41784E-05	0.000183547	0.00036307
174	0.000126807	0.000624166	0.002488873	0.001089284	0.000880876	0.000613441	0.000623483	0.0013215
175	0.023344692	0.162921482	0.032687311	0.022458229	0.129620225	0.061395586	0.06970217	0.072361017
176	0.101001973	0.090860292	0.185652481	0.214841559	0.068550773	0.080364867	0.051273897	0.096052136
177	0.031242666	0.043115958	0.059405096	0.048175485	0.091192991	0.124558726	0.07936562	0.072616011
178	8.73724E-08	3.45269E-07	2.19992E-07	0	8.23469E-07	1.47617E-06	6.16618E-08	5.14043E-08
179	0.00466911	0.003064722	0.003095876	0.003486207	0.002327774	0.002544151	0.00183471	0.001711947
180	0.000460381	0.000723742	0.001354879	0.000273923	0.000259696	9.30116E-05	0.000137835	0.000654066
181	0.005993363	0.013779408	0.005863226	0.009124075	0.007331397	0.008457639	0.003024005	0.003211272
182	0.000906255	0.00070183	0.001739734	0.000520063	0.000364377	0.00032038	0.00047801	0.001330286
183	7.32961E-05	0.000119141	3.16513E-06	9.70967E-07	7.33235E-06	9.27765E-07	1.05259E-06	9.44728E-08
184	8.94132E-05	0.000212674	0.003401346	0.001499669	0.000365121	0.000248374	9.33574E-05	0.000548526
185	0.000139379	9.00124E-05	0.000205228	4.0544E-05	2.74868E-05	1.07419E-05	3.48124E-05	0.000187945
186	7.45508E-08	1.93045E-06	1.47512E-05	0	9.02682E-07	3.74622E-07	9.92216E-07	1.43578E-05
187	0	1.72842E-06	3.47385E-06	1.5542E-06	8.39909E-07	3.86937E-07	5.06069E-07	1.46039E-06
188	0.001009922	0.002363227	0.001772677	0.001312282	0.001101329	0.000763416	0.000292999	0.000681568
189	0	0	0	0	0	0	0	0
190	2.48432E-05	4.46263E-05	3.02679E-05	2.61821E-05	3.08092E-05	4.13736E-06	1.27278E-05	1.76712E-05
191	3.92637E-05	1.05833E-05	3.03346E-06	5.96695E-05	2.70906E-07	0	1.47907E-07	3.54384E-06
192	0.007353207	0.006886944	0.027544699	0.025368359	0.014404883	0.013473129	0.012538029	0.01973782
193	0.01338557	0.017204249	0.023111465	0.018670793	0.012188495	0.014029367	0.010476004	0.01650138
194	0.000173352	0.001463908	6.11683E-07	2.49936E-07	1.18043E-05	1.48411E-05	1.09293E-05	9.14088E-06
195	0.0027509	0.006865492	0.007257662	0.002524758	0.002098325	0.001933988	0.000782241	0.001811009
196	0	0	0	0	0	0	0	0
197	0	7.24288E-06	2.32621E-06	4.25875E-07	0	3.54001E-06	0	1.02397E-06
198	0.000188148	0.000617825	0.00091144	0.000935788	0.000394653	0.000605202	0.000148434	0.000406218
199	0	0	0	0	0	0	0	0
200	0.000318817	0.000136345	0.00010576	2.32067E-05	1.18805E-05	1.90421E-05	1.74647E-05	5.82546E-05
201	0.002002616	0.002129818	0.001008549	0.001630326	0.00026923	0.000353139	5.64652E-05	0.000323828
202	2.7971E-06	0	0	0	1.16845E-06	0	0	0
203	0	3.38894E-06	1.30243E-06	9.95148E-07	4.28049E-07	5.78586E-07	0	1.26935E-06
204	0.000267027	0.001030651	0.000411726	0.000225773	0.000126162	0.000110445	3.8701E-05	0.000215633
205	0.000768248	0.00212846	0.004911214	0.005135655	0.001449337	0.002031469	0.000970086	0.003132948
206	6.28156E-05	0.000495454	0.000229325	0.000197349	8.96379E-05	3.93817E-05	4.0062E-05	0.00010174
207	0.001300283	0.0007874	0.000437664	0.000508025	0.000142151	0.000215406	0.000191489	0.000456021
208	1.86524E-05	1.23823E-06	0.000145435	7.36256E-05	3.83497E-05	2.59313E-05	3.77424E-05	8.09659E-05
209	0.000531275	0.001013803	0.000721331	0.002434479	0.000276126	0.000153622	0.000556031	0.000430529
210	0	6.70247E-07	4.50442E-06	1.24484E-05	1.63751E-06	8.16653E-06	6.64842E-06	5.41564E-06
211	9.03532E-05	0.0007692	0.000263512	1.20757E-05	2.59794E-05	1.37741E-05	2.77123E-06	5.14805E-05
212	5.97633E-05	0.000525176	0.000328335	0.000225433	0.000123548	0.000158722	3.14377E-05	0.000159603
213	4.53494E-05	0.000106916	5.82159E-05	0.000103863	0.000101702	0.000122218	3.71175E-05	0.000165384
214	3.79917E-05	8.51193E-05	2.97988E-05	3.73941E-05	3.27991E-05	2.02283E-05	2.0308E-05	5.47854E-05
215	0	0	6.00596E-07	4.32132E-07	0	2.06105E-06	0	0
216	0	6.46739E-07	0	0	0	0	0	0
217	0	0	0	0	0	0	0	0
218	0.081339694	0.033305558	0.001610256	0.003596649	0.00108615	0.000504957	0.000836344	0.001505102
219	0.000458764	0.000417578	0.002052888	0.001648588	0.000194712	0.000570266	0.000192795	0.000310385
220	0	0	0	0	0	0	0	0
221	0.006655983	0.011487907	0.009344347	0.008999472	0.007495741	0.01054657	0.007866237	0.008667349
222	0.000112674	0.000266642	0.000850784	0.000320829	0.000281959	0.000165291	0.000144223	0.000209356
223	0.000505609	0.001150487	0.002027046	0.001239489	0.000947085	0.000799777	0.000576537	0.000883095
224	0.002366532	0.00415531	0.001145063	0.001634724	0.000564695	0.001022621	0.000551069	0.000684961
225	0.06697337	0.076540904	0.127339993	0.099998274	0.083600463	0.076770335	0.059575558	0.056077215
226	6.54629E-06	2.41249E-05	0.000599394	0.000167564	0.000121704	8.34024E-05	1.86871E-05	0.000102974
227	1.45289E-06	0	1.19106E-07	4.5961E-08	0	0	0	0
228	3.69161E-06	3.34001E-06	1.72089E-06	7.49578E-06	8.01186E-07	8.49554E-07	1.13473E-06	2.09794E-07
229	0.00161905	0.000687159	2.27007E-05	8.17449E-05	3.98376E-05	2.29251E-05	3.6195E-05	3.8613E-05
230	9.75441E-07	3.28379E-06	4.07914E-06	1.7005E-07	1.58293E-07	0	3.82423E-07	1.25379E-06
231	0.000252234	0.00065235	0.001034278	0.000572703	0.000311343	0.000272882	0.000172957	0.000384064
232	1.83357E-06	5.72321E-06	0	4.05613E-06	0	0	0	0
233	0.00034267	0.00103741	0.002054177	0.005494123	0.001773786	0.000981146	0.00132706	0.001641838
234	0	0	0	0	0	0	0	0
235	0	0	0	0	0	0	0	0
236	0.000698834	0.001264802	0.001378778	0.002203827	0.000859253	0.000989926	0.00067106	0.00135134
237	1.39161E-05	7.56881E-05	2.49404E-05	7.31951E-06	2.31201E-05	1.19919E-05	4.8537E-06	2.09492E-05
238	0.00027808	0.001027676	0.001503339	0.001296107	0.000448489	0.000413847	0.000167511	0.000607812
239	0.000566558	0.001635962	0.003500655	0.001164957	0.000567788	0.000409647	0.000317369	0.000826033
240	0	1.03615E-05	0	1.74592E-06	0	1.89909E-06	0	4.11202E-08
241	0	0	0	0	0	0	0	0
242	2.94929E-05	3.61533E-07	2.45693E-07	1.50981E-05	3.03757E-06	0	1.4528E-07	2.22681E-08
243	0.000500054	0.000495511	0.00047134	0.000386267	0.000247965	0.000212619	0.000137086	0.000424697
244	0	0	4.01223E-06	1.9245E-06	1.67696E-06	4.65103E-08	0	3.07979E-08
245	4.54029E-05	2.81158E-05	3.96627E-06	2.98566E-05	1.09805E-05	2.88779E-05	3.54035E-06	4.34556E-07
246	6.95847E-05	4.30687E-05	0.000112693	7.04254E-05	3.86247E-05	3.5377E-05	3.03467E-05	7.14242E-05
247	4.98345E-05	4.54758E-05	3.59607E-05	1.45234E-05	8.3754E-06	1.86141E-05	1.21178E-05	2.38542E-05
248	1.18899E-06	6.00253E-06	5.06722E-05	1.13855E-05	2.58842E-05	1.66144E-05	8.30641E-06	1.05914E-05
249	9.92287E-06	1.15047E-06	2.82201E-05	6.27533E-05	1.56855E-06	6.38137E-06	1.05277E-06	9.45016E-07
250	5.70301E-05	4.4899E-05	5.47987E-05	3.82374E-05	3.97744E-05	2.14645E-05	3.45359E-05	9.44342E-06
251	0	0	0	0	0	0	0	9.8004E-07
252	4.92423E-07	0	1.91366E-05	0	2.46119E-06	9.42064E-07	0	4.6616E-06
253	0	0	0	0	0	0	0	0
254	1.18139E-06	0	0	8.3303E-08	9.01283E-07	0	0	0
255	0	0	0	0	0	0	0	0
256	5.17068E-06	2.41054E-05	2.00151E-06	2.49363E-06	4.22664E-06	5.15285E-07	1.27791E-06	6.46731E-07
257	0	0	0	0	0	0	0	0
258	0	0	0	0	0	0	0	0
259	1.73552E-07	0	0	0	0	0	0	0
260	0	0	0	0	0	0	0	0
261	0	0	0	0	0	0	0	0
262	7.0587E-07	6.4063E-06	2.09152E-06	3.95086E-07	9.68396E-07	1.89895E-06	1.4359E-06	2.8863E-06
263	0.043089237	0.013871674	0.002061293	0	0.001648556	0.001028301	0.000274543	0.00451875
264	1.70817E-06	3.52131E-06	1.01103E-05	1.65074E-06	5.51061E-07	4.31092E-06	1.12013E-06	4.46717E-06
265	0	0	0	0	0	5.86171E-08	0	0
266	0	0	0	0	0	0	0	0
267	1.20406E-05	8.76363E-06	0	0	1.06716E-05	0	0	5.87306E-05
268	0	0	0	0	0	0	0	0
269	0	1.3748E-07	0	0	0	0	0	0
270	0	0	0	0	0	0	0	0
